,area,rooms,parking,bathrooms,lat,lon,price
430,77,3,2,2,-23.2629313,-45.8910605,535000
432,53,1,1,1,-23.2034889,-45.8845846,320000
433,74,3,1,2,-23.2213004,-45.8883248,475000
434,233,4,3,5,-23.2034236,-45.9105214,2700000
435,233,4,3,5,-23.2002824,-45.8940021,3000000
438,150,3,1,2,-23.1924655,-45.8963467,700000
440,69,3,2,2,-23.2499985,-45.9083387,430000
443,70,3,1,2,-23.258028,-45.881022,459000
445,104,3,2,3,-23.2265205,-45.8968879,850000
446,120,3,1,3,-23.1968045,-45.8943248,1150000
447,68,3,1,2,-23.225225,-45.8971092,445001
448,52,2,1,2,-23.2341477,-45.9050416,390000
450,122,3,2,2,-23.2341234,-45.9256624,1230000
454,54,2,1,1,-23.2505639,-45.8914715,296800
455,71,2,2,2,-23.1985042,-45.9128647,945780
456,116,3,1,1,-23.2319718,-45.8942925,769000
459,56,2,1,1,-23.2402544,-45.8933781,369000
460,92,3,2,2,-23.2267306,-45.9036805,685000
461,72,3,1,2,-23.2265205,-45.8968879,599000
462,54,2,1,1,-23.2233825,-45.8847575,360000
463,82,1,2,2,-23.1985042,-45.9128647,744000
464,69,2,2,2,-23.2341477,-45.9050416,550000
465,55,2,1,2,-23.2534054,-45.9166353,525000
466,57,1,2,2,-23.2092982,-45.9032947,745000
468,90,3,2,1,-23.2228195,-45.9104962,974460
470,65,2,1,2,-23.253497,-45.8829921,446000
472,74,3,1,2,-23.2213004,-45.8883248,475000
475,89,3,2,2,-23.2052682,-45.8881552,725000
476,50,2,1,1,-23.214223,-45.851209,280000
477,75,3,2,2,-23.2221126,-45.9095335,780000
478,44,1,1,1,-23.2223764,-45.8856605,330000
479,233,4,3,5,-23.2002824,-45.8940021,3180000
482,122,3,1,2,-23.1835214,-45.8878957,515000
483,123,4,2,2,-23.2629313,-45.8910605,797000
487,72,4,1,3,-23.2455112,-45.8846834,580000
491,84,3,1,2,-23.2340199,-45.90173,585000
493,56,2,1,2,-23.2502173,-45.9170663,446000
494,143,3,2,3,-23.2221126,-45.9095335,1600000
495,194,3,3,5,-23.2127421,-45.9069145,2300000
496,67,2,1,2,-23.2436303,-45.9132175,450000
499,77,3,2,2,-23.2267306,-45.9036805,590000
500,68,2,2,2,-23.2308616,-45.8942314,435000
501,65,2,1,1,-23.2308616,-45.8942314,400000
504,144,4,3,5,-23.2081295,-45.8916807,1380000
505,78,1,1,2,-23.2157422,-45.9060993,950000
506,278,4,3,6,-23.2082214,-45.9083253,3058000
508,60,2,1,2,-23.1841579,-45.9547335,419900
509,41,1,2,1,-23.2082214,-45.9083253,380000
512,60,2,2,1,-23.1970039,-45.9084535,450000
513,125,3,1,2,-23.1856422,-45.8843941,480000
514,293,3,3,3,-23.2035631,-45.8969895,2500000
515,56,2,1,2,-23.2402544,-45.8933781,349900
516,72,2,2,2,-23.1953887,-45.8927812,855000
517,48,2,1,1,-23.1745967,-45.7865609,199000
518,56,2,1,1,-23.1961965,-45.8841151,405000
520,50,2,1,1,-23.256849,-45.8316624,202000
521,70,2,2,2,-23.2092982,-45.9032947,570000
523,70,3,2,2,-23.2534054,-45.9166353,554036
524,156,3,3,4,-23.2327074,-45.9275569,1330000
525,124,4,3,3,-23.1979166,-45.9113619,1090000
526,278,4,4,4,-23.2082214,-45.9083253,3500000
527,63,2,1,2,-23.2360898,-45.9078061,385000
528,38,1,1,1,-23.2052682,-45.8881552,300000
529,52,2,1,2,-23.1827844,-45.9503959,426000
530,233,4,3,6,-23.2002824,-45.8940021,2800000
531,78,3,2,2,-23.2154269,-45.908121,723000
533,33,1,1,1,-23.1979166,-45.9113619,430000
534,50,2,1,1,-23.2223764,-45.8856605,320000
535,70,3,1,2,-23.2012499,-45.8834841,670000
537,48,2,1,1,-23.2629313,-45.8910605,265000
541,180,4,3,6,-23.2151853,-45.9090412,1827000
542,97,3,2,2,-23.1976423,-45.8819124,829000
544,74,3,1,2,-23.1775485,-45.8397078,352000
545,63,2,1,2,-23.1954377,-45.887903,400000
546,66,2,1,1,-23.1761487,-45.8788448,349000
547,81,3,1,2,-23.2351577,-45.9140475,570000
548,111,3,2,2,-23.1976423,-45.8819124,770000
549,105,3,2,3,-23.2629313,-45.8910605,590000
550,53,2,2,2,-23.1982391,-45.8827334,450000
555,133,4,2,4,-23.2154269,-45.908121,1300000
558,45,2,1,1,-23.1737442,-45.8471662,336000
559,92,3,2,3,-23.1956647,-45.8937347,1050000
560,80,3,1,2,-23.2502173,-45.9170663,539999
561,52,2,1,2,-23.218442,-45.850115,329899
562,73,2,2,2,-23.2038811,-45.9021055,890000
564,160,3,2,1,-23.2170569,-45.9088967,2015000
565,49,2,1,1,-23.2419875,-45.895779,300000
566,220,4,3,5,-23.2067195,-45.9024486,1397000
567,53,2,1,1,-23.2572039,-45.9110891,220000
568,76,3,2,2,-23.2052682,-45.8881552,719900
569,64,2,1,2,-23.2388871,-45.9070677,475000
570,60,2,1,1,-23.2380792,-45.9010799,420000
571,50,2,1,1,-23.221191,-45.8893811,320000
572,255,5,5,5,-23.2131162,-45.9078311,1849900
573,107,4,2,3,-23.2206945,-45.9101028,955000
574,78,3,1,2,-23.185844,-45.8684832,320000
575,98,3,2,3,-23.2071612,-45.9009565,575000
576,90,3,1,2,-23.237943,-45.9011183,580000
577,90,3,1,2,-23.1846367,-45.8600303,380000
578,75,2,1,2,-23.2319718,-45.8942925,429000
579,62,2,1,1,-23.221044,-45.909243,565000
580,58,2,2,2,-23.1979166,-45.9113619,587353
581,78,2,2,2,-23.2160733,-45.9093275,765000
585,120,4,2,3,-23.2629313,-45.8910605,900000
586,194,3,3,5,-23.2127421,-45.9069145,2160000
587,77,3,2,2,-23.2092982,-45.9032947,549999
589,118,3,2,3,-23.1987975,-45.9352675,1100000
590,55,2,1,2,-23.2534054,-45.9166353,450000
591,75,2,2,2,-23.1976423,-45.8819124,599000
592,49,2,1,1,-23.2456094,-45.824975,260000
593,56,2,50,2,-23.2402544,-45.8933781,369900
595,142,3,2,4,-23.2140071,-45.841297,650000
598,60,2,1,1,-23.1947609,-45.9334296,419900
600,125,3,2,3,-23.2228195,-45.9104962,1390000
601,64,3,1,2,-23.2402544,-45.8933781,419900
602,106,3,2,3,-23.2028942,-45.950933,540000
603,75,3,1,2,-23.2200575,-45.8896572,585000
604,72,1,1,2,-23.2190993,-45.9082337,665000
605,91,3,2,2,-23.1970039,-45.9084535,830000
606,79,2,1,1,-23.2311239,-45.9066157,522000
607,68,2,1,1,-23.1767396,-45.8279302,300000
608,85,3,1,2,-23.1909379,-45.886436,425500
609,55,2,1,1,-23.2344627,-45.907685,340000
610,58,2,1,2,-23.1987975,-45.9352675,399901
611,75,2,2,2,-23.2341234,-45.9256624,740000
612,33,1,1,1,-23.1956647,-45.8937347,233734
613,69,2,2,2,-23.1417569,-45.7825794,420000
614,109,3,2,2,-23.2202839,-45.9064383,1380000
615,63,2,1,2,-23.2534054,-45.9166353,745000
616,180,3,3,5,-23.2071612,-45.9009565,1990000
620,84,4,2,2,-23.2213004,-45.8883248,700000
621,72,3,2,1,-23.2041152,-45.8853984,695000
622,120,4,2,4,-23.2052682,-45.8881552,1000000
623,52,2,1,1,-23.2264164,-45.8945991,378000
624,65,2,1,1,-23.2308616,-45.8942314,425500
625,75,2,2,2,-23.2341234,-45.9256624,719000
626,54,2,1,1,-23.2602632,-45.9113258,375000
627,44,2,1,1,-23.2502173,-45.9170663,330000
628,105,3,2,2,-23.2027939,-45.8950075,950000
629,120,3,2,4,-23.2038811,-45.9021055,1580000
630,67,2,1,2,-23.2436303,-45.9132175,450000
631,65,2,1,2,-23.2267306,-45.9036805,535000
635,60,2,1,2,-23.1841579,-45.9547335,419900
636,53,2,1,2,-23.1827844,-45.9503959,435000
639,120,3,1,2,-23.2200324,-45.8872035,450000
640,49,2,1,2,-23.2502173,-45.9170663,445000
641,74,3,1,2,-23.2213004,-45.8883248,420000
642,106,3,2,3,-23.2198567,-45.8913555,975200
643,52,2,1,2,-23.214223,-45.851209,309900
644,120,3,2,4,-23.2038811,-45.9021055,1650000
645,45,2,1,1,-23.2324573,-45.8781391,350000
649,92,3,2,2,-23.1956647,-45.8937347,1150000
652,65,2,1,2,-23.2267306,-45.9036805,535000
656,143,3,2,4,-23.2221126,-45.9095335,1698000
658,65,2,1,2,-23.1841579,-45.9547335,450500
659,156,3,3,4,-23.2327074,-45.9275569,1700000
662,65,2,2,2,-23.2534054,-45.9166353,515000
663,54,2,1,2,-23.2240746,-45.9180774,405651
665,114,4,2,3,-23.2205233,-45.9051222,727000
670,48,2,1,1,-23.2629313,-45.8910605,265000
671,118,3,2,2,-23.195717,-45.8906907,770000
674,60,2,1,1,-23.2380792,-45.9010799,420000
675,233,4,3,5,-23.2034236,-45.9105214,2700000
679,70,3,2,2,-23.2008318,-45.8830378,900000
681,70,2,2,2,-23.2409567,-45.914431,600000
682,114,2,3,4,-23.2087038,-45.8998756,1150000
683,93,3,2,3,-23.2038811,-45.9021055,1182092
684,56,2,1,2,-23.2008318,-45.8830378,530000
685,46,2,1,1,-23.2094966,-45.8519997,272000
686,52,2,1,1,-23.2400181,-45.9134951,285000
687,65,3,1,2,-23.225225,-45.8971092,380000
688,63,2,1,1,-23.2035631,-45.8969895,421000
691,120,4,2,4,-23.2261461,-45.9074786,1715839
692,103,3,2,3,-23.2052682,-45.8881552,670000
693,47,2,1,1,-23.2400181,-45.9134951,297000
694,55,2,1,2,-23.258028,-45.881022,359904
695,54,2,1,1,-23.2505639,-45.8914715,270000
696,45,2,1,1,-23.1853312,-45.8543047,235000
697,72,3,1,2,-23.1417569,-45.7825794,415000
701,95,3,2,2,-23.253497,-45.8829921,713000
704,166,4,2,4,-23.2082214,-45.9083253,980000
705,99,3,2,3,-23.2202839,-45.9064383,960000
706,50,2,1,1,-23.2223764,-45.8856605,320000
707,99,3,2,2,-23.2041152,-45.8853984,740000
708,62,2,1,1,-23.1961965,-45.8841151,320000
711,58,2,1,1,-23.1524341,-45.9119804,205000
712,84,3,2,2,-23.2276655,-45.9184689,545000
714,75,3,2,2,-23.1909379,-45.886436,450000
716,80,3,2,2,-23.1961965,-45.8841151,371000
719,49,2,1,1,-23.2341234,-45.9256624,385000
720,167,3,2,4,-23.2082214,-45.9083253,2500000
724,96,3,2,2,-23.2228195,-45.9104962,1050000
725,92,3,2,2,-23.1970039,-45.9084535,750000
731,70,3,1,2,-23.1775485,-45.8397078,363000
736,153,4,2,4,-23.1956647,-45.8937347,999900
739,80,3,2,2,-23.2050581,-45.9048126,700000
740,77,3,1,2,-23.2296561,-45.8785953,449000
742,100,3,1,1,-23.2341234,-45.9256624,750000
744,75,3,1,2,-23.1909379,-45.886436,450000
745,75,3,2,2,-23.1417569,-45.7825794,480000
747,101,2,1,2,-23.2266466,-45.8871058,530000
748,52,2,1,2,-23.1835998,-45.951812,450000
750,143,3,2,3,-23.2221126,-45.9095335,1650000
751,78,3,2,2,-23.2629313,-45.8910605,800000
763,85,1,2,2,-23.2190226,-45.908767,1250000
764,99,3,2,3,-23.2202839,-45.9064383,960000
765,51,1,1,1,-23.2190226,-45.908767,680000
766,142,3,2,4,-23.2327074,-45.9275569,1600000
767,84,3,1,2,-23.2216712,-45.9085912,650000
768,50,2,1,1,-23.214223,-45.851209,280000
769,63,2,1,2,-23.2499985,-45.9083387,420000
770,65,2,2,2,-23.2168256,-45.904412,695000
771,62,2,1,2,-23.1987975,-45.9352675,460000
772,90,3,2,3,-23.2221126,-45.9095335,590000
774,157,3,2,5,-23.2188486,-45.9097772,1700000
775,200,3,3,5,-23.2092982,-45.9032947,1200000
